Iteration	Posterior	Likelihood	Prior	rate_log_sd	rate_loss	tree_length
0	-433.6127	-514.9533	81.34064	1.415329	3.180434	1.785808
6	-430.5701	-511.9524	81.38229	1.361106	3.016425	1.841371
12	-429.85	-510.2053	80.35535	1.1917	4.00816	2.381812
18	-432.1004	-512.3266	80.22621	1.47936	3.558495	2.381812
24	-430.4969	-511.3044	80.80747	1.14486	2.940464	2.381812
30	-431.5478	-512.0372	80.48949	1.502122	2.085436	2.620701
36	-430.2675	-511.8488	81.58124	1.716308	3.09335	1.417319
42	-428.082	-509.0953	81.01322	1.175975	2.009201	2.525328
48	-422.7989	-503.9241	81.12526	1.230231	2.426958	2.277345
54	-420.6504	-501.1776	80.52726	1.299197	3.67674	2.277345
60	-418.4939	-500.245	81.75116	1.487226	3.190153	1.432359
66	-424.3293	-506.1044	81.77507	0.9846174	2.919474	1.858682
72	-424.3748	-506.2064	81.83163	1.60745	2.00902	1.703638
78	-426.1708	-505.6518	79.48107	1.049716	2.134524	3.478952
84	-421.8385	-501.608	79.76955	0.953428	2.276098	3.321204
90	-425.1982	-505.6351	80.43691	1.300615	1.902847	2.841981
96	-429.3246	-511.0289	81.70433	1.631601	2.171658	1.711392
102	-423.4662	-506.0048	82.53857	1.831215	2.058303	0.9110611
108	-427.496	-510.29	82.79394	1.91624	1.42192	0.9943809
114	-426.2038	-508.1805	81.97663	1.914679	2.780719	1.026958
120	-432.3152	-514.3973	82.08207	2.489213	1.443686	1.110997
126	-437.0018	-518.2602	81.25841	2.08823	3.189627	1.347987
132	-433.8878	-514.9022	81.01438	1.221884	2.77468	2.247442
138	-429.082	-510.6406	81.55862	2.182452	2.259414	1.376022
144	-429.7156	-511.8781	82.16249	2.182452	2.259414	0.8077158
150	-429.3352	-511.609	82.27377	2.250663	1.9418	0.8077158
156	-428.7187	-511.2028	82.48407	1.522854	1.730923	1.411902
162	-429.6455	-511.0479	81.40235	1.396683	2.785729	1.872229
168	-432.3082	-513.2165	80.90832	1.22353	2.247162	2.478041
174	-427.8184	-508.9228	81.10445	1.288212	1.799717	2.478041
180	-436.2108	-517.141	80.93013	1.738701	2.752287	1.970476
186	-429.8586	-511.4403	81.58166	1.540894	2.56371	1.719718
192	-430.4289	-512.2916	81.86268	1.646963	2.446256	1.479909
198	-441.3594	-519.9124	78.55296	1.471316	2.446256	3.677754
204	-436.0674	-513.9935	77.92611	1.310457	2.446256	4.129542
210	-429.5441	-510.5905	81.04635	1.614505	2.73771	1.98027
216	-432.0149	-513.0695	81.0546	1.533129	1.623098	2.429104
222	-426.2207	-508.3251	82.10438	1.472813	2.608888	1.366711
228	-427.0531	-508.8321	81.77907	1.451667	2.608888	1.627153
234	-430.9265	-510.927	80.00052	1.364488	3.457038	2.618455
240	-425.3856	-507.4787	82.09308	1.639235	2.103212	1.449059
246	-447.2718	-528.369	81.09717	1.532123	2.70448	2.011516
252	-433.9629	-514.8818	80.91891	1.098867	2.714247	2.404181
258	-435.7967	-514.8144	79.01768	1.093409	3.182508	3.434887
264	-437.7115	-518.1642	80.45265	1.210035	3.796933	2.354507
270	-439.8965	-520.4797	80.58315	1.646547	2.354643	2.380896
276	-442.337	-522.9	80.56296	1.865712	2.286758	2.276745
282	-438.4278	-519.3863	80.95847	2.047039	2.509333	1.819713
288	-437.9844	-519.2432	81.25878	1.482347	3.097077	1.819713
294	-446.4558	-527.5789	81.12314	1.470939	2.227397	2.19058
300	-448.6707	-530.174	81.50323	1.806841	4.140134	1.085508
306	-443.3156	-525.2278	81.91219	1.993354	2.54863	1.115376
312	-433.2386	-515.3453	82.10679	1.876099	2.186571	1.210821
318	-431.0651	-513.1887	82.12366	2.141226	2.34141	0.8541596
324	-438.3987	-520.1471	81.74838	2.647169	2.219229	0.7679559
330	-431.8653	-514.7905	82.92521	1.903813	1.53503	0.7557509
336	-428.115	-510.4644	82.34939	1.686329	2.305523	1.10835
342	-422.1197	-504.1418	82.02209	1.639748	2.473088	1.351898
348	-430.7924	-511.8671	81.0747	1.78594	4.57336	1.351898
354	-426.8108	-508.2617	81.45091	1.826288	3.298827	1.368458
360	-429.7848	-511.8235	82.03871	1.644465	1.951782	1.551848
366	-429.601	-511.7262	82.12519	1.531667	2.489138	1.349544
372	-435.1033	-516.7178	81.61446	1.862764	3.031368	1.295496
378	-436.9371	-517.9932	81.05604	1.832429	2.000605	2.081586
384	-437.9924	-519.0351	81.04267	1.349805	2.555859	2.21267
390	-438.8837	-519.8417	80.95808	1.635721	2.359067	2.145698
396	-446.0814	-527.6326	81.5512	1.121357	2.556442	2.029208
402	-442.83	-523.3262	80.49615	1.512419	3.398987	2.226722
408	-433.9018	-515.2546	81.35276	1.522117	3.22642	1.689317
